public-apis/public-apis;git@github.com:public-apis/public-apis.git;5030;274ecf0e19e8da03197bdda8f2c5be307ad6aa69
donnemartin/system-design-primer;git@github.com:donnemartin/system-design-primer.git;11220;40d5d2edccd00b4a66fb0e24d887d8b1a0d7ea0e
vinta/awesome-python;git@github.com:vinta/awesome-python.git;6769;2252650cfdff3782d5a85458507fe9ec6edde7a4
TheAlgorithms/Python;git@github.com:TheAlgorithms/Python.git;15109;787aa5d3b59640b2d9161b56ca8fde763597efe4
Significant-Gravitas/AutoGPT;git@github.com:Significant-Gravitas/AutoGPT.git;199867;9d1bc25ffa7bb627496bac12e05b410b61ab9832
jackfrued/Python-100-Days;git@github.com:jackfrued/Python-100-Days.git;343708;af045f6493f63056dbdd78a5dab3ca356867a65e
AUTOMATIC1111/stable-diffusion-webui;git@github.com:AUTOMATIC1111/stable-diffusion-webui.git;36304;82a973c04367123ae98bd9abdf80d9eda9b910e2
huggingface/transformers;git@github.com:huggingface/transformers.git;269090;2fa876d2d824123b80ced9d689f75a153731769b
ytdl-org/youtube-dl;git@github.com:ytdl-org/youtube-dl.git;65241;1036478d130c5f2001eca2d7d12558abe601d933
521xueweihan/HelloGitHub;git@github.com:521xueweihan/HelloGitHub.git;6468;3678195fd52af48f872bd58b41a4b585767366eb
yt-dlp/yt-dlp;git@github.com:yt-dlp/yt-dlp.git;52122;a3c0321825110d7eb447a6e6f393cec2bade34f9
nvbn/thefuck;git@github.com:nvbn/thefuck.git;4043;c7e7e1d884d3bb241ea6448f72a989434c2a35ec
pytorch/pytorch;git@github.com:pytorch/pytorch.git;1022529;c40d91718251bd824d2abaf97ca9a93fd139fa57
django/django;git@github.com:django/django.git;265003;0a341125d1f6ea8e5e80522a98725f906fb08350
fastapi/fastapi;git@github.com:fastapi/fastapi.git;25357;2612fa3e9d17fe74c97029b55b5d64be2d38400f
tensorflow/models;git@github.com:tensorflow/models.git;637719;65339fa1e660773a4e0a8c303afda819c12212c9
home-assistant/core;git@github.com:home-assistant/core.git;677713;1e4c7e832df6100390161418ff81070e77500378
openai/whisper;org-14957082@github.com:openai/whisper.git;4095;517a43ecd132a2089d85f4ebc044728a71d49f6e
3b1b/manim;git@github.com:3b1b/manim.git;76600;7a7bf83f117034b5cdf60ae85511c1b004769651
fighting41love/funNLP;git@github.com:fighting41love/funNLP.git;174188;29f4ac896f11058e87e10968569f999c69679b6f
pallets/flask;git@github.com:pallets/flask.git;10762;f61172b8dd3f962d33f25c50b2f5405e90ceffa5
bregman-arie/devops-exercises;git@github.com:bregman-arie/devops-exercises.git;4780;207ddb471ab0daf55fc2da03cceea30c0c8538cf
binary-husky/gpt_academic;git@github.com:binary-husky/gpt_academic.git;71445;286f7303be0d81a075a82f7ad0dc501e90633b4b
abi/screenshot-to-code;git@github.com:abi/screenshot-to-code.git;2786;595d969fc369635eb1d468ab473cca87b390bf65
josephmisiti/awesome-machine-learning;git@github.com:josephmisiti/awesome-machine-learning.git;3261;94f765d72057dab57ca3dbdf204a4d6944c7c45d
