public-apis/public-apis;git@github.com:public-apis/public-apis.git;5030;274ecf0e19e8da03197bdda8f2c5be307ad6aa69
donnemartin/system-design-primer;git@github.com:donnemartin/system-design-primer.git;11220;40d5d2edccd00b4a66fb0e24d887d8b1a0d7ea0e
vinta/awesome-python;git@github.com:vinta/awesome-python.git;6769;2252650cfdff3782d5a85458507fe9ec6edde7a4
TheAlgorithms/Python;git@github.com:TheAlgorithms/Python.git;15109;787aa5d3b59640b2d9161b56ca8fde763597efe4
Significant-Gravitas/AutoGPT;git@github.com:Significant-Gravitas/AutoGPT.git;199867;9d1bc25ffa7bb627496bac12e05b410b61ab9832
jackfrued/Python-100-Days;git@github.com:jackfrued/Python-100-Days.git;343708;af045f6493f63056dbdd78a5dab3ca356867a65e
AUTOMATIC1111/stable-diffusion-webui;git@github.com:AUTOMATIC1111/stable-diffusion-webui.git;36304;82a973c04367123ae98bd9abdf80d9eda9b910e2
huggingface/transformers;git@github.com:huggingface/transformers.git;269090;2fa876d2d824123b80ced9d689f75a153731769b
ytdl-org/youtube-dl;git@github.com:ytdl-org/youtube-dl.git;65241;1036478d130c5f2001eca2d7d12558abe601d933
521xueweihan/HelloGitHub;git@github.com:521xueweihan/HelloGitHub.git;6468;3678195fd52af48f872bd58b41a4b585767366eb
odoo/odoo;git@github.com:odoo/odoo.git;10033436;2130c7b37aef89d9e70d4e0a32e281fff50ef565
